"State.Code"|"State.Name"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"01"|"AL"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"02"|"AK"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"04"|"AZ"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
"05"|"AR"
