"code"|"region"
"05-143"|"AR-Washington"
"05-145"|"AR-White"
"05-147"|"AR-Woodruff"
"05-149"|"AR-Yell"
"06-001"|"CA-Alameda"
"06-003"|"CA-Alpine"
"06-005"|"CA-Amador"
"06-007"|"CA-Butte"
"06-009"|"CA-Calaveras"
"06-011"|"CA-Colusa"
"06-013"|"CA-Contra_Costa"
"06-015"|"CA-Del_Norte"
"06-017"|"CA-El_Dorado"
"06-019"|"CA-Fresno"
"06-021"|"CA-Glenn"
"06-023"|"CA-Humboldt"
"06-025"|"CA-Imperial"
"06-027"|"CA-Inyo"
"06-029"|"CA-Kern"
"06-031"|"CA-Kings"
"06-033"|"CA-Lake"
"06-035"|"CA-Lassen"
"06-037"|"CA-Los_Angeles"
"06-039"|"CA-Madera"
"06-041"|"CA-Marin"
"06-043"|"CA-Mariposa"
"06-045"|"CA-Mendocino"
"06-047"|"CA-Merced"
"06-049"|"CA-Modoc"
"06-051"|"CA-Mono"
"06-053"|"CA-Monterey"
"06-055"|"CA-Napa"
"06-057"|"CA-Nevada"
"06-059"|"CA-Orange"
"06-061"|"CA-Placer"
"06-063"|"CA-Plumas"
"06-065"|"CA-Riverside"
"06-067"|"CA-Sacramento"
"06-069"|"CA-San_Benito"
"06-071"|"CA-San_Bernardino"
"06-073"|"CA-San_Diego"
"06-075"|"CA-San_Francisco"
"06-077"|"CA-San_Joaquin"
"06-079"|"CA-San_Luis_Obispo"
"06-081"|"CA-San_Mateo"
"06-083"|"CA-Santa_Barbara"
"06-085"|"CA-Santa_Clara"
"06-087"|"CA-Santa_Cruz"
"06-089"|"CA-Shasta"
"06-091"|"CA-Sierra"
"06-093"|"CA-Siskiyou"
"06-095"|"CA-Solano"
"06-097"|"CA-Sonoma"
"06-099"|"CA-Stanislaus"
"06-101"|"CA-Sutter"
"06-103"|"CA-Tehama"
"06-105"|"CA-Trinity"
"06-107"|"CA-Tulare"
"06-109"|"CA-Tuolumne"
"06-111"|"CA-Ventura"
"06-113"|"CA-Yolo"
"06-115"|"CA-Yuba"
"08-001"|"CO-Adams"
"08-003"|"CO-Alamosa"
"08-005"|"CO-Arapahoe"
"08-007"|"CO-Archuleta"
"08-009"|"CO-Baca"
"08-011"|"CO-Bent"
"08-013"|"CO-Boulder"
"08-014"|"CO-Broomfield"
"08-015"|"CO-Chaffee"
"08-017"|"CO-Cheyenne"
"08-019"|"CO-Clear_Creek"
"08-021"|"CO-Conejos"
"08-023"|"CO-Costilla"
"08-025"|"CO-Crowley"
"08-027"|"CO-Custer"
"08-029"|"CO-Delta"
"08-031"|"CO-Denver"
"08-033"|"CO-Dolores"
"08-035"|"CO-Douglas"
"08-037"|"CO-Eagle"
"08-039"|"CO-Elbert"
"08-041"|"CO-El_Paso"
"08-043"|"CO-Fremont"
"08-045"|"CO-Garfield"
"08-047"|"CO-Gilpin"
"08-049"|"CO-Grand"
"08-051"|"CO-Gunnison"
"08-053"|"CO-Hinsdale"
"08-055"|"CO-Huerfano"
"08-057"|"CO-Jackson"
"08-059"|"CO-Jefferson"
"08-061"|"CO-Kiowa"
"08-063"|"CO-Kit_Carson"
"08-065"|"CO-Lake"
"08-067"|"CO-La_Plata"
"08-069"|"CO-Larimer"
"08-071"|"CO-Las_Animas"
"08-073"|"CO-Lincoln"
"08-075"|"CO-Logan"
"08-077"|"CO-Mesa"
"08-079"|"CO-Mineral"
"08-081"|"CO-Moffat"
"08-083"|"CO-Montezuma"
"08-085"|"CO-Montrose"
"08-087"|"CO-Morgan"
"08-089"|"CO-Otero"
"08-091"|"CO-Ouray"
"08-093"|"CO-Park"
"08-095"|"CO-Phillips"
"08-097"|"CO-Pitkin"
"08-099"|"CO-Prowers"
"08-101"|"CO-Pueblo"
"08-103"|"CO-Rio_Blanco"
"08-105"|"CO-Rio_Grande"
"08-107"|"CO-Routt"
"08-109"|"CO-Saguache"
"08-111"|"CO-San_Juan"
"08-113"|"CO-San_Miguel"
"08-115"|"CO-Sedgwick"
"08-117"|"CO-Summit"
"08-119"|"CO-Teller"
"08-121"|"CO-Washington"
"08-123"|"CO-Weld"
"08-125"|"CO-Yuma"
"09-001"|"CT-Fairfield"
"09-003"|"CT-Hartford"
"09-005"|"CT-Litchfield"
"09-007"|"CT-Middlesex"
"09-009"|"CT-New_Haven"
"09-011"|"CT-New_London"
"09-013"|"CT-Tolland"
"09-015"|"CT-Windham"
"10-001"|"DE-Kent"
"10-003"|"DE-New_Castle"
"10-005"|"DE-Sussex"
"11-001"|"DC-District_of_Columbia"
"12-001"|"FL-Alachua"
"12-003"|"FL-Baker"
"12-005"|"FL-Bay"
"12-007"|"FL-Bradford"
"12-009"|"FL-Brevard"
"12-011"|"FL-Broward"
"12-013"|"FL-Calhoun"
"12-015"|"FL-Charlotte"
"12-017"|"FL-Citrus"
"12-019"|"FL-Clay"
"12-021"|"FL-Collier"
"12-023"|"FL-Columbia"
"12-025"|"FL-DADE"
"12-027"|"FL-DeSoto"
"12-029"|"FL-Dixie"
"12-031"|"FL-Duval"
"12-033"|"FL-Escambia"
"12-035"|"FL-Flagler"
"12-037"|"FL-Franklin"
"12-039"|"FL-Gadsden"
"12-041"|"FL-Gilchrist"
"12-043"|"FL-Glades"
"12-045"|"FL-Gulf"
"12-047"|"FL-Hamilton"
"12-049"|"FL-Hardee"
"12-051"|"FL-Hendry"
"12-053"|"FL-Hernando"
"12-055"|"FL-Highlands"
"12-057"|"FL-Hillsborough"
"12-059"|"FL-Holmes"
"12-061"|"FL-Indian_River"
"12-063"|"FL-Jackson"
"12-065"|"FL-Jefferson"
"12-067"|"FL-Lafayette"
"12-069"|"FL-Lake"
"12-071"|"FL-Lee"
"12-073"|"FL-Leon"
"12-075"|"FL-Levy"
"12-077"|"FL-Liberty"
"12-079"|"FL-Madison"
"12-081"|"FL-Manatee"
"12-083"|"FL-Marion"
"12-085"|"FL-Martin"
"12-086"|"FL-Miami-Dade"
"12-087"|"FL-Monroe"
"12-089"|"FL-Nassau"
"12-091"|"FL-Okaloosa"
"12-093"|"FL-Okeechobee"
"12-095"|"FL-Orange"
"12-097"|"FL-Osceola"
"12-099"|"FL-Palm_Beach"
"12-101"|"FL-Pasco"
"12-103"|"FL-Pinellas"
"12-105"|"FL-Polk"
"12-107"|"FL-Putnam"
"12-109"|"FL-St._Johns"
"12-111"|"FL-St._Lucie"
"12-113"|"FL-Santa_Rosa"
"12-115"|"FL-Sarasota"
"12-117"|"FL-Seminole"
"12-119"|"FL-Sumter"
"12-121"|"FL-Suwannee"
"12-123"|"FL-Taylor"
"12-125"|"FL-Union"
"12-127"|"FL-Volusia"
"12-129"|"FL-Wakulla"
"12-131"|"FL-Walton"
"12-133"|"FL-Washington"
"13-001"|"GA-Appling"
"13-003"|"GA-Atkinson"
"13-005"|"GA-Bacon"
"13-007"|"GA-Baker"
"13-009"|"GA-Baldwin"
"13-011"|"GA-Banks"
"13-013"|"GA-Barrow"
"13-015"|"GA-Bartow"
"13-017"|"GA-Ben_Hill"
"13-019"|"GA-Berrien"
"13-021"|"GA-Bibb"
"13-023"|"GA-Bleckley"
"13-025"|"GA-Brantley"
"13-027"|"GA-Brooks"
"13-029"|"GA-Bryan"
"13-031"|"GA-Bulloch"
"13-033"|"GA-Burke"
"13-035"|"GA-Butts"
"13-037"|"GA-Calhoun"
"13-039"|"GA-Camden"
"13-043"|"GA-Candler"
"13-045"|"GA-Carroll"
"13-047"|"GA-Catoosa"
"13-049"|"GA-Charlton"
"13-051"|"GA-Chatham"
"13-053"|"GA-Chattahoochee"
"13-055"|"GA-Chattooga"
"13-057"|"GA-Cherokee"
"13-059"|"GA-Clarke"
"13-061"|"GA-Clay"
"13-063"|"GA-Clayton"
"13-065"|"GA-Clinch"
"13-067"|"GA-Cobb"
"13-069"|"GA-Coffee"
"13-071"|"GA-Colquitt"
"13-073"|"GA-Columbia"
"13-075"|"GA-Cook"
"13-077"|"GA-Coweta"
"13-079"|"GA-Crawford"
"13-081"|"GA-Crisp"
"13-083"|"GA-Dade"
"13-085"|"GA-Dawson"
"13-087"|"GA-Decatur"
"13-089"|"GA-DeKalb"
"13-091"|"GA-Dodge"
"13-093"|"GA-Dooly"
"13-095"|"GA-Dougherty"
"13-097"|"GA-Douglas"
"13-099"|"GA-Early"
"13-101"|"GA-Echols"
"13-103"|"GA-Effingham"
"13-105"|"GA-Elbert"
"13-107"|"GA-Emanuel"
"13-109"|"GA-Evans"
"13-111"|"GA-Fannin"
"13-113"|"GA-Fayette"
"13-115"|"GA-Floyd"
"13-117"|"GA-Forsyth"
"13-119"|"GA-Franklin"
"13-121"|"GA-Fulton"
"13-123"|"GA-Gilmer"
"13-125"|"GA-Glascock"
"13-127"|"GA-Glynn"
"13-129"|"GA-Gordon"
"13-131"|"GA-Grady"
"13-133"|"GA-Greene"
"13-135"|"GA-Gwinnett"
"13-137"|"GA-Habersham"
"13-139"|"GA-Hall"
"13-141"|"GA-Hancock"
"13-143"|"GA-Haralson"
"13-145"|"GA-Harris"
"13-147"|"GA-Hart"
"13-149"|"GA-Heard"
"13-151"|"GA-Henry"
"13-153"|"GA-Houston"
"13-155"|"GA-Irwin"
"13-157"|"GA-Jackson"
"13-159"|"GA-Jasper"
"13-161"|"GA-Jeff_Davis"
"13-163"|"GA-Jefferson"
"13-165"|"GA-Jenkins"
"13-167"|"GA-Johnson"
"13-169"|"GA-Jones"
"13-171"|"GA-Lamar"
"13-173"|"GA-Lanier"
"13-175"|"GA-Laurens"
"13-177"|"GA-Lee"
"13-179"|"GA-Liberty"
"13-181"|"GA-Lincoln"
"13-183"|"GA-Long"
"13-185"|"GA-Lowndes"
"13-187"|"GA-Lumpkin"
"13-189"|"GA-McDuffie"
"13-191"|"GA-McIntosh"
"13-193"|"GA-Macon"
"13-195"|"GA-Madison"
"13-197"|"GA-Marion"
"13-199"|"GA-Meriwether"
"13-201"|"GA-Miller"
"13-205"|"GA-Mitchell"
"13-207"|"GA-Monroe"
"13-209"|"GA-Montgomery"
"13-211"|"GA-Morgan"
"13-213"|"GA-Murray"
"13-215"|"GA-Muscogee"
"13-217"|"GA-Newton"
"13-219"|"GA-Oconee"
"13-221"|"GA-Oglethorpe"
"13-223"|"GA-Paulding"
"13-225"|"GA-Peach"
"13-227"|"GA-Pickens"
"13-229"|"GA-Pierce"
"13-231"|"GA-Pike"
"13-233"|"GA-Polk"
"13-235"|"GA-Pulaski"
"13-237"|"GA-Putnam"
"13-239"|"GA-Quitman"
"13-241"|"GA-Rabun"
"13-243"|"GA-Randolph"
"13-245"|"GA-Richmond"
"13-247"|"GA-Rockdale"
"13-249"|"GA-Schley"
"13-251"|"GA-Screven"
"13-253"|"GA-Seminole"
"13-255"|"GA-Spalding"
"13-257"|"GA-Stephens"
"13-259"|"GA-Stewart"
"13-261"|"GA-Sumter"
"13-263"|"GA-Talbot"
"13-265"|"GA-Taliaferro"
"13-267"|"GA-Tattnall"
"13-269"|"GA-Taylor"
"13-271"|"GA-Telfair"
"13-273"|"GA-Terrell"
"13-275"|"GA-Thomas"
"13-277"|"GA-Tift"
"13-279"|"GA-Toombs"
"13-281"|"GA-Towns"
"13-283"|"GA-Treutlen"
"13-285"|"GA-Troup"
"13-287"|"GA-Turner"
"13-289"|"GA-Twiggs"
"13-291"|"GA-Union"
"13-293"|"GA-Upson"
"13-295"|"GA-Walker"
"13-297"|"GA-Walton"
"13-299"|"GA-Ware"
"13-301"|"GA-Warren"
"13-303"|"GA-Washington"
"13-305"|"GA-Wayne"
"13-307"|"GA-Webster"
"13-309"|"GA-Wheeler"
"13-311"|"GA-White"
"13-313"|"GA-Whitfield"
"13-315"|"GA-Wilcox"
"13-317"|"GA-Wilkes"
"13-319"|"GA-Wilkinson"
"13-321"|"GA-Worth"
"15-001"|"HI-Hawaii"
"15-003"|"HI-Honolulu"
"15-005"|"HI-Kalawao"
"15-007"|"HI-Kauai"
"15-009"|"HI-Maui"
"16-001"|"ID-Ada"
"16-003"|"ID-Adams"
"16-005"|"ID-Bannock"
"16-007"|"ID-Bear_Lake"
"16-009"|"ID-Benewah"
"16-011"|"ID-Bingham"
"16-013"|"ID-Blaine"
"16-015"|"ID-Boise"
"16-017"|"ID-Bonner"
"16-019"|"ID-Bonneville"
"16-021"|"ID-Boundary"
"16-023"|"ID-Butte"
"16-025"|"ID-Camas"
"16-027"|"ID-Canyon"
"16-029"|"ID-Caribou"
"16-031"|"ID-Cassia"
"16-033"|"ID-Clark"
"16-035"|"ID-Clearwater"
"16-037"|"ID-Custer"
"16-039"|"ID-Elmore"
"16-041"|"ID-Franklin"
"16-043"|"ID-Fremont"
"16-045"|"ID-Gem"
"16-047"|"ID-Gooding"
"16-049"|"ID-Idaho"
"16-051"|"ID-Jefferson"
"16-053"|"ID-Jerome"
"16-055"|"ID-Kootenai"
"16-057"|"ID-Latah"
"16-059"|"ID-Lemhi"
"16-061"|"ID-Lewis"
"16-063"|"ID-Lincoln"
"16-065"|"ID-Madison"
"16-067"|"ID-Minidoka"
"16-069"|"ID-Nez_Perce"
"16-071"|"ID-Oneida"
"16-073"|"ID-Owyhee"
"16-075"|"ID-Payette"
"16-077"|"ID-Power"
"16-079"|"ID-Shoshone"
"16-081"|"ID-Teton"
"16-083"|"ID-Twin_Falls"
"16-085"|"ID-Valley"
"16-087"|"ID-Washington"
"17-001"|"IL-Adams"
"17-003"|"IL-Alexander"
"17-005"|"IL-Bond"
"17-007"|"IL-Boone"
"17-009"|"IL-Brown"
"17-011"|"IL-Bureau"
"17-013"|"IL-Calhoun"
"17-015"|"IL-Carroll"
"17-017"|"IL-Cass"
"17-019"|"IL-Champaign"
"17-021"|"IL-Christian"
"17-023"|"IL-Clark"
"17-025"|"IL-Clay"
"17-027"|"IL-Clinton"
"17-029"|"IL-Coles"
"17-031"|"IL-Cook"
"17-033"|"IL-Crawford"
"17-035"|"IL-Cumberland"
"17-037"|"IL-DeKalb"
"17-039"|"IL-De_Witt"
"17-041"|"IL-Douglas"
"17-043"|"IL-DuPage"
"17-045"|"IL-Edgar"
"17-047"|"IL-Edwards"
"17-049"|"IL-Effingham"
"17-051"|"IL-Fayette"
"17-053"|"IL-Ford"
"17-055"|"IL-Franklin"
"17-057"|"IL-Fulton"
"17-059"|"IL-Gallatin"
"17-061"|"IL-Greene"
"17-063"|"IL-Grundy"
"17-065"|"IL-Hamilton"
"17-067"|"IL-Hancock"
"17-069"|"IL-Hardin"
"17-071"|"IL-Henderson"
"17-073"|"IL-Henry"
"17-075"|"IL-Iroquois"
"17-077"|"IL-Jackson"
"17-079"|"IL-Jasper"
"17-081"|"IL-Jefferson"
"17-083"|"IL-Jersey"
"17-085"|"IL-Jo_Daviess"
"17-087"|"IL-Johnson"
"17-089"|"IL-Kane"
"17-091"|"IL-Kankakee"
"17-093"|"IL-Kendall"
"17-095"|"IL-Knox"
"17-097"|"IL-Lake"
"17-099"|"IL-La_Salle"
"17-101"|"IL-Lawrence"
"17-103"|"IL-Lee"
"17-105"|"IL-Livingston"
"17-107"|"IL-Logan"
"17-109"|"IL-McDonough"
"17-111"|"IL-McHenry"
"17-113"|"IL-McLean"
"17-115"|"IL-Macon"
"17-117"|"IL-Macoupin"
"17-119"|"IL-Madison"
"17-121"|"IL-Marion"
"17-123"|"IL-Marshall"
"17-125"|"IL-Mason"
"17-127"|"IL-Massac"
"17-129"|"IL-Menard"
"17-131"|"IL-Mercer"
"17-133"|"IL-Monroe"
"17-135"|"IL-Montgomery"
"17-137"|"IL-Morgan"
"17-139"|"IL-Moultrie"
"17-141"|"IL-Ogle"
"17-143"|"IL-Peoria"
"17-145"|"IL-Perry"
"17-147"|"IL-Piatt"
"17-149"|"IL-Pike"
"17-151"|"IL-Pope"
"17-153"|"IL-Pulaski"
"17-155"|"IL-Putnam"
"17-157"|"IL-Randolph"
"17-159"|"IL-Richland"
"17-161"|"IL-Rock_Island"
"17-163"|"IL-Saint_Clair"
"17-165"|"IL-Saline"
"17-167"|"IL-Sangamon"
"17-169"|"IL-Schuyler"
"17-171"|"IL-Scott"
"17-173"|"IL-Shelby"
"17-175"|"IL-Stark"
"17-177"|"IL-Stephenson"
"17-179"|"IL-Tazewell"
"17-181"|"IL-Union"
"17-183"|"IL-Vermilion"
"17-185"|"IL-Wabash"
"17-187"|"IL-Warren"
"17-189"|"IL-Washington"
"17-191"|"IL-Wayne"
"17-193"|"IL-White"
"17-195"|"IL-Whiteside"
"17-197"|"IL-Will"
"17-199"|"IL-Williamson"
"17-201"|"IL-Winnebago"
"17-203"|"IL-Woodford"
"18-001"|"IN-Adams"
"18-003"|"IN-Allen"
"18-005"|"IN-Bartholomew"
"18-007"|"IN-Benton"
"18-009"|"IN-Blackford"
"18-011"|"IN-Boone"
"18-013"|"IN-Brown"
"18-015"|"IN-Carroll"
"18-017"|"IN-Cass"
"18-019"|"IN-Clark"
"18-021"|"IN-Clay"
"18-023"|"IN-Clinton"
"18-025"|"IN-Crawford"
"18-027"|"IN-Daviess"
"18-029"|"IN-Dearborn"
"18-031"|"IN-Decatur"
"18-033"|"IN-DeKalb"
"18-035"|"IN-Delaware"
"18-037"|"IN-Dubois"
"18-039"|"IN-Elkhart"
"18-041"|"IN-Fayette"
"18-043"|"IN-Floyd"
"18-045"|"IN-Fountain"
"18-047"|"IN-Franklin"
"18-049"|"IN-Fulton"
"18-051"|"IN-Gibson"
"18-053"|"IN-Grant"
"18-055"|"IN-Greene"
"18-057"|"IN-Hamilton"
"18-059"|"IN-Hancock"
"18-061"|"IN-Harrison"
"18-063"|"IN-Hendricks"
"18-065"|"IN-Henry"
"18-067"|"IN-Howard"
"18-069"|"IN-Huntington"
"18-071"|"IN-Jackson"
"18-073"|"IN-Jasper"
"18-075"|"IN-Jay"
"18-077"|"IN-Jefferson"
"18-079"|"IN-Jennings"
"18-081"|"IN-Johnson"
"18-083"|"IN-Knox"
"18-085"|"IN-Kosciusko"
"18-087"|"IN-LaGrange"
"18-089"|"IN-Lake"
"18-091"|"IN-LaPorte"
"18-093"|"IN-Lawrence"
"18-095"|"IN-Madison"
"18-097"|"IN-Marion"
"18-099"|"IN-Marshall"
"18-101"|"IN-Martin"
"18-103"|"IN-Miami"
"18-105"|"IN-Monroe"
"18-107"|"IN-Montgomery"
"18-109"|"IN-Morgan"
"18-111"|"IN-Newton"
"18-113"|"IN-Noble"
"18-115"|"IN-Ohio"
"18-117"|"IN-Orange"
"18-119"|"IN-Owen"
"18-121"|"IN-Parke"
"18-123"|"IN-Perry"
"18-125"|"IN-Pike"
"18-127"|"IN-Porter"
"18-129"|"IN-Posey"
"18-131"|"IN-Pulaski"
"18-133"|"IN-Putnam"
"18-135"|"IN-Randolph"
"18-137"|"IN-Ripley"
"18-139"|"IN-Rush"
"18-141"|"IN-St._Joseph"
"18-143"|"IN-Scott"
"18-145"|"IN-Shelby"
"18-147"|"IN-Spencer"
"18-149"|"IN-Starke"
"18-151"|"IN-Steuben"
"18-153"|"IN-Sullivan"
"18-155"|"IN-Switzerland"
"18-157"|"IN-Tippecanoe"
"18-159"|"IN-Tipton"
"18-161"|"IN-Union"
"18-163"|"IN-Vanderburgh"
"18-165"|"IN-Vermillion"
"18-167"|"IN-Vigo"
"18-169"|"IN-Wabash"
"18-171"|"IN-Warren"
"18-173"|"IN-Warrick"
"18-175"|"IN-Washington"
"18-177"|"IN-Wayne"
"18-179"|"IN-Wells"
"18-181"|"IN-White"
"18-183"|"IN-Whitley"
"19-001"|"IA-Adair"
"19-003"|"IA-Adams"
"19-005"|"IA-Allamakee"
"19-007"|"IA-Appanoose"
"19-009"|"IA-Audubon"
"19-011"|"IA-Benton"
"19-013"|"IA-Black_Hawk"
"19-015"|"IA-Boone"
"19-017"|"IA-Bremer"
"19-019"|"IA-Buchanan"
"19-021"|"IA-Buena_Vista"
"19-023"|"IA-Butler"
"19-025"|"IA-Calhoun"
"19-027"|"IA-Carroll"
"19-029"|"IA-Cass"
"19-031"|"IA-Cedar"
"19-033"|"IA-Cerro_Gordo"
"19-035"|"IA-Cherokee"
"19-037"|"IA-Chickasaw"
"19-039"|"IA-Clarke"
"19-041"|"IA-Clay"
"19-043"|"IA-Clayton"
"19-045"|"IA-Clinton"
"19-047"|"IA-Crawford"
"19-049"|"IA-Dallas"
"19-051"|"IA-Davis"
"19-053"|"IA-Decatur"
"19-055"|"IA-Delaware"
"19-057"|"IA-Des_Moines"
"19-059"|"IA-Dickinson"
"19-061"|"IA-Dubuque"
"19-063"|"IA-Emmet"
"19-065"|"IA-Fayette"
"19-067"|"IA-Floyd"
"19-069"|"IA-Franklin"
"19-071"|"IA-Fremont"
"19-073"|"IA-Greene"
"19-075"|"IA-Grundy"
"19-077"|"IA-Guthrie"
"19-079"|"IA-Hamilton"
"19-081"|"IA-Hancock"
"19-083"|"IA-Hardin"
"19-085"|"IA-Harrison"
"19-087"|"IA-Henry"
"19-089"|"IA-Howard"
"19-091"|"IA-Humboldt"
"19-093"|"IA-Ida"
"19-095"|"IA-Iowa"
"19-097"|"IA-Jackson"
"19-099"|"IA-Jasper"
"19-101"|"IA-Jefferson"
"19-103"|"IA-Johnson"
"19-105"|"IA-Jones"
"19-107"|"IA-Keokuk"
"19-109"|"IA-Kossuth"
"19-111"|"IA-Lee"
"19-113"|"IA-Linn"
"19-115"|"IA-Louisa"
"19-117"|"IA-Lucas"
"19-119"|"IA-Lyon"
"19-121"|"IA-Madison"
"19-123"|"IA-Mahaska"
